clientCode,family,consumo2020,consumo2021,consumo2022,consumo2023,fDato,ventas2020,ventas2021,ventas2022,ventas2023,"competidores","comentarios"
12633,POLIOLES,2333.000,2667.000,2133.000,2133.000,01/03/2024,241.380,837.800,383.840,71.340,"",""
12720,ESTIRENO,11988.000,12854.340,11311.819,9841.283,01/03/2024,11988.030,12854.340,9237.740,5144.480,"Repsol unico suministrador",""
12720,GLICOLES,5800.000,5916.000,5679.360,5622.566,01/03/2024,333.180,,191.140,339.280,"Dow, Lyondell",""
12774,ESTIRENO,700.000,,,,01/03/2024,597.020,,,,"QUIMIDROGA",""
12776,POLIOLES,5200.000,6000.000,6667.000,6667.000,01/03/2024,3576.790,4022.960,4006.160,3631.880,"DOW, Covestro",""
12779,GLICOLES,200.000,138.000,132.000,132.000,01/03/2024,142.340,109.540,131.660,131.380,"DOW (UNIVAR)",""
12819,GLICOLES,450.000,450.000,450.000,700.000,01/03/2024,310.300,383.220,369.140,432.040,"DOW, BASF, INEOS",""
12825,GLICOLES,150.000,150.000,150.000,150.000,01/03/2024,71.740,47.900,,,"DOW",""
12838,ESTIRENO,1813.000,2333.240,1767.000,1072.000,01/03/2024,1813.420,2333.240,1766.720,1072.160,"",""
12848,POLIOLES,700.000,700.000,700.000,700.000,01/03/2024,23.260,317.200,237.400,267.580,"Dow",""
12851,GLICOLES,120.000,225.000,300.000,190.000,01/03/2024,119.500,220.760,262.480,167.360,"",""
12855,POLIOLES,,,225.600,203.040,01/03/2024,,,225.600,111.640,"",""
12891,ESTIRENO,2000.000,2315.500,1670.000,2122.000,01/03/2024,1932.480,2315.500,1669.840,2122.160,"",""
12894,GLICOLES,75.000,93.000,162.000,174.000,01/03/2024,38.000,93.000,162.000,174.000,"",""
12896,GLICOLES,44.000,40.000,44.000,44.000,01/03/2024,44.000,22.000,44.000,44.000,"Interchimie",""
12920,GLICOLES,1000.000,1000.000,1000.000,800.000,01/03/2024,415.900,668.040,343.220,206.240,"Todos",""
12929,ESTIRENO,7000.000,10500.000,9500.000,9000.000,01/03/2024,,387.560,1830.080,,"Versalis, Traders",""
12932,POLIOLES,3.300,,,,01/03/2024,3.300,,,,"",""
12940,POLIOLES,2000.000,1600.000,2100.000,2700.000,01/03/2024,,,3.000,576.250,"Dow",""
12941,POLIOLES,1.000,1.000,1.000,1.000,01/03/2024,0.660,,,,"",""
12947,POLIOLES,11500.000,10500.000,9500.000,8500.000,01/03/2024,44.180,,,,"DOW, COVESTRO BASF KOREANOS",""
12970,GLICOLES,80.000,80.000,0.000,,01/03/2024,58.080,,,,"SHELL, DOW",""
12973,GLICOLES,,35.200,35.200,100.000,01/03/2024,,35.200,35.200,,"",""
12975,GLICOLES,1500.000,1500.000,1500.000,1200.000,01/03/2024,235.680,24.780,,122.700,"DOW INEOS ",""
12977,ESTIRENO,83.460,20.820,,,01/03/2024,83.460,20.820,,,"","distribuidor- no relevante- otro nombre del cliente SHANGHAI MINGDOU"
12992,POLIOLES,10500.000,10000.000,9000.000,9000.000,01/03/2024,493.600,45.080,,488.900,"DOW, COVESTRO BASF KOREANOS",""
13024,POLIOLES,800.000,850.000,800.000,750.000,01/03/2024,160.820,325.360,254.060,260.280,"CHIMCOMPLEX, ROKITA",""
13040,GLICOLES,2000.000,2000.000,2000.000,2000.000,01/03/2024,843.520,915.790,1158.600,1199.090,"dOW INEOS Lyondell",""
13041,GLICOLES,1000.000,800.000,800.000,800.000,01/03/2024,229.620,466.560,267.180,179.940,"BASF INEOS",""
13058,POLIOLES,600.000,500.000,400.000,350.000,01/03/2024,88.540,,,,"DOW, BASF COVESTRO, SHELL",""
13061,POLIOLES,2500.000,2200.000,2000.000,1700.000,01/03/2024,132.680,,,,"DOW, BASF COVESTRO, SHELL",""
13063,POLIOLES,450.000,400.000,350.000,300.000,01/03/2024,22.120,,,,"DOW, BASF COVESTRO, SHELL",""
13081,GLICOLES,2000.000,2000.000,2000.000,2000.000,01/03/2024,23.920,580.800,1187.460,1146.020,"Ineos",""
13091,GLICOLES,300.000,300.000,300.000,300.000,01/03/2024,137.880,134.560,246.880,157.180,"Oleon, China",""
13108,GLICOLES,9.000,1.000,9.000,9.000,01/03/2024,9.000,,,,"",""
13116,POLIOLES,350.000,352.000,350.000,350.000,01/03/2024,209.800,351.580,325.140,227.860,"",""
13117,GLICOLES,900.000,24.380,,,01/03/2024,483.500,24.380,,,"Ineos",""
13124,GLICOLES,22.360,44.300,300.000,200.000,01/03/2024,22.360,44.300,,,"",""
13134,POLIOLES,1300.000,1100.000,900.000,900.000,01/03/2024,168.440,,,,"DOW, COVESTRO, BASF",""
13165,GLICOLES,1000.000,1000.000,1000.000,1000.000,01/03/2024,48.260,48.280,168.800,218.020,"Todos",""
